,link,builtup_area,carpet_area,rooms,furnish,address,bathrooms,balcony,facing,gas_pipline,gated_community,swimming_pool,gym,intercom,power_backup,garden,sports,more_amenities,current_floor,total_floor,lease_type,property_age,covered_parking,open_parking,school,university,bus_stop,railway,mall,metro_station,hospital,restaurant,rent
894,https://housing.com/rent/18253065-1050-sqft-3-bhk-apartment-on-rent-in-mulund-west-mumbai,1050,1049,3,Semi Furnished,"Oberoi Eternia Towers A to D, Sambhaji Nagar, Mulund West, Mumbai",2,0,East,0,1,1,1,1,1,1,1,28,10,63,Family,1,2,0,1,1,0,0,0,0,1,1,98000
895,https://housing.com/rent/18614909-1200-sqft-2.5-bhk-apartment-on-rent-in-powai-mumbai,1200,900,2.5,Fully Furnished,"Sainath Nagar, Powai, Mumbai",2,0,South-West,1,1,1,1,1,1,1,1,6,5,11,Family,18,1,0,1,1,0,0,0,1,1,0,87000
896,https://housing.com/rent/18698737-650-sqft-2-bhk-apartment-on-rent-in-worli-mumbai,650,500,2,Semi Furnished,"Tata Tower bdd Worli, Lower Parel West, Lower Parel, Mumbai",2,0,East,0,1,0,1,1,1,1,1,5,31,41,Family  Bachelor  Company,1,1,1,1,1,0,0,0,0,1,1,65000
897,https://housing.com/rent/18649448-1050-sqft-2-bhk-apartment-on-rent-in-powai-mumbai,1050,650,2,Semi Furnished,"L And T Emerald Isle, Chandivali, Powai, Mumbai",2,0,East,1,1,1,1,1,1,1,1,43,14,24,Family  Bachelor  Company,9,1,0,1,1,0,0,0,1,1,0,70000
898,https://housing.com/rent/18626314-1235-sqft-3-bhk-apartment-on-rent-in-mira-road-east-mumbai,1235,855,3,Unfurnished,"Goyal Poonam Srishti, Mahajan Wadi, Mira Road East, Mira Bhayandar",2,2,South,0,0,0,0,0,0,0,0,0,7,14,Family,5,1,0,1,1,0,0,1,1,1,0,39000
899,https://housing.com/rent/18093612-770-sqft-2-bhk-apartment-on-rent-in-goregaon-west-mumbai,770,670,2,Unfurnished,"Modirealty Vatvriksh, Yashwant Nagar, Goregaon West, Mumbai",2,1,South-West,1,1,1,1,1,1,1,1,17,20,22,Family,1,1,1,0,1,0,0,0,1,1,0,65000
900,https://housing.com/rent/18435592-850-sqft-2-bhk-apartment-on-rent-in-shivaji-park-mumbai,850,700,2,Unfurnished,"MISH AND MAU, Shivaji Park, Mumbai",2,0,,1,1,0,0,1,0,0,0,0,1,22,Family,1,1,0,1,1,0,0,0,0,1,1,110000
901,https://housing.com/rent/18666204-2600-sqft-4-bhk-apartment-on-rent-in-bandra-east-mumbai,2600,2100,4,Semi Furnished,"Adani Ten BKC, Kala Nagar, Bandra East, Mumbai",4,0,East,1,1,1,1,1,1,1,1,37,27,29,Family  Bachelor  Company,1,3,0,1,1,0,0,0,0,1,1,300000
902,https://housing.com/rent/18629580-786-sqft-2-bhk-apartment-on-rent-in-goregaon-west-mumbai,786,629,2,Semi Furnished,"Sunteck City Avenue 2, Somani Gram, Goregaon West, Mumbai",2,0,North,0,1,1,1,1,1,1,1,25,6,29,Family  Bachelor,3,1,0,0,1,0,0,0,1,1,0,62000
903,https://housing.com/rent/18630030-1135-sqft-2.5-bhk-apartment-on-rent-in-goregaon-west-mumbai,1135,908,2.5,Semi Furnished,"Ekta Tripolis, Siddharth Nagar, Goregaon West, Mumbai",2,1,North,0,1,1,1,1,1,1,1,45,16,36,Family,1,1,0,0,1,0,0,0,1,1,0,85000
904,https://housing.com/rent/18635892-1150-sqft-2-bhk-apartment-on-rent-in-powai-mumbai,1150,800,2,Semi Furnished,"Lakeview Seven Complex, Chandivali, Powai, Mumbai",2,2,East,1,1,0,0,1,1,1,0,0,10,18,Family  Bachelor  Company,0,1,0,1,1,0,0,0,1,1,0,65000
905,https://housing.com/rent/18673599-450-sqft-1-bhk-apartment-on-rent-in-malad-east-mumbai,450,333,1,Semi Furnished,"Omkar Signet, Kokanipada, Malad East, Mumbai",1,0,East,0,1,1,1,1,1,1,0,25,28,33,Family  Bachelor,3,1,0,0,1,0,0,1,1,1,0,40000
906,https://housing.com/rent/18522367-712-sqft-1-bhk-apartment-on-rent-in-mira-road-east-mumbai,712,480,1,Semi Furnished,"Prithvi Pride Phase I, Kashimira, Mira Road East, Mumbai",2,2,North-East,1,1,0,0,1,1,1,1,17,10,19,Family,3,1,1,1,1,0,0,0,1,1,0,20000
907,https://housing.com/rent/18676556-780-sqft-2-bhk-apartment-on-rent-in-bhandup-west-mumbai,780,650,2,Fully Furnished,"Srishti Mayuresh Srishti, Jaydev Singh Nagar, Bhandup West, Mumbai",2,0,North-East,1,1,1,1,1,1,1,1,17,4,7,Family,14,0,1,1,1,1,0,0,0,1,1,45000
908,https://housing.com/rent/18641568-950-sqft-2-bhk-apartment-on-rent-in-sakinaka-mumbai,950,859,2,Unfurnished,"DSK Madhuban, Safed Pul, Saki Naka, Mumbai",2,1,West,0,0,1,0,0,0,0,0,13,6,10,Family  Bachelor  Company,16,1,0,1,1,0,0,0,1,1,0,61000
909,https://housing.com/rent/18605550-1350-sqft-3-bhk-apartment-on-rent-in-goregaon-west-mumbai,1350,1000,3,Unfurnished,"HIG MAHDA, Yashwant Nagar, Goregaon West, Mumbai",3,0,East,0,1,1,1,1,1,1,1,5,11,35,Family  Bachelor,0,1,1,0,1,0,1,0,1,1,0,74000
910,https://housing.com/rent/18657068-1275-sqft-3-bhk-apartment-on-rent-in-bhandup-west-mumbai,1275,1000,3,Unfurnished,"Chheda Heights, Rajiv Gandhi Nagar, Bhandup West, Mumbai",3,0,,0,1,1,1,1,1,1,1,6,5,17,Family  Company,15,1,0,1,1,0,0,0,0,1,1,52000
911,https://housing.com/rent/18511397-900-sqft-2-bhk-apartment-on-rent-in-matunga-east-mumbai,900,860,2,Fully Furnished,"ON A CALL, Brahmnwada, Matunga East, Mumbai",1,0,,1,0,0,0,0,1,0,0,0,7,18,Family,15,1,0,1,1,0,0,0,0,1,1,125000
